time, number of rows, filesize (MB)
2024-02-03 04:44:53.756561, 215425, 98.304
2024-02-03 04:46:53.775778, 215517, 98.34496
2024-02-03 04:48:53.802935, 215613, 98.390016
2024-02-03 04:50:53.915995, 215706, 98.430976
2024-02-03 04:52:53.931769, 215791, 98.46784
2024-02-03 04:54:54.145673, 215859, 98.500608
2024-02-03 04:56:54.156399, 215923, 98.52928
2024-02-03 04:58:54.332391, 215987, 98.557952
2024-02-03 05:00:54.412346, 216063, 98.594816
2024-02-03 05:02:54.444067, 216143, 98.63168
2024-02-03 05:04:54.540087, 216223, 98.664448
2024-02-03 05:06:54.538485, 216303, 98.701312
2024-02-03 05:08:54.680781, 216380, 98.738176
2024-02-03 05:10:54.681611, 216445, 98.766848
2024-02-03 05:12:54.825003, 216513, 98.799616
2024-02-03 05:14:54.967096, 216585, 98.832384
2024-02-03 05:16:54.998170, 216658, 98.865152
2024-02-03 05:18:55.116559, 216738, 98.902016
2024-02-03 05:20:55.129384, 216815, 98.934784
2024-02-03 05:22:55.192090, 216884, 98.967552
2024-02-03 05:24:55.394591, 216948, 98.996224
2024-02-03 05:26:55.426399, 217012, 99.024896
2024-02-03 05:28:55.446796, 217076, 99.053568
2024-02-03 05:30:55.500688, 217140, 99.08224
2024-02-03 05:32:55.617514, 217204, 99.110912
2024-02-03 05:34:55.773635, 217268, 99.14368
2024-02-03 05:36:55.804464, 217328, 99.168256
2024-02-03 05:38:55.872563, 217384, 99.192832
2024-02-03 05:40:55.999720, 217440, 99.221504
2024-02-03 05:42:56.077717, 217500, 99.24608
2024-02-03 05:44:56.233800, 217568, 99.278848
2024-02-03 05:46:56.246868, 217644, 99.311616
2024-02-03 05:48:56.326872, 217724, 99.34848
2024-02-03 05:50:56.498820, 217804, 99.385344
2024-02-03 05:52:56.527923, 217884, 99.422208
2024-02-03 05:54:56.692807, 217955, 99.454976
2024-02-03 05:56:56.725162, 218025, 99.487744
2024-02-03 05:58:56.727982, 218098, 99.520512
2024-02-03 06:00:56.856200, 218178, 99.557376
2024-02-03 06:02:56.903661, 218258, 99.59424
2024-02-03 06:04:57.115111, 218338, 99.631104
2024-02-03 06:06:57.178827, 218418, 99.667968
2024-02-03 06:08:57.159748, 218498, 99.704832
2024-02-03 06:10:57.314860, 218584, 99.745792
2024-02-03 06:12:57.357999, 218676, 99.786752
2024-02-03 06:14:57.480807, 218792, 99.84
2024-02-03 06:16:57.542853, 218904, 99.889152
2024-02-03 06:18:57.582474, 219020, 99.9424
2024-02-03 06:20:57.718189, 219144, 99.999744
2024-02-03 06:22:57.786952, 219272, 100.057088
2024-02-03 06:24:57.921929, 219395, 100.114432
2024-02-03 06:26:57.937528, 219515, 100.16768
2024-02-03 06:28:58.097507, 219642, 100.225024
2024-02-03 06:30:58.095423, 219770, 100.286464
2024-02-03 06:32:58.224561, 219906, 100.347904
2024-02-03 06:34:58.429744, 220046, 100.409344
2024-02-03 06:36:58.429074, 220180, 100.470784
2024-02-03 06:38:58.457427, 220320, 100.53632
